id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
prancha-u002,prancha,A Simbologia da Morte na Maçonaria,Prancha de estudos do Grupo de Estudos Urânia.,,,,Grupo de Estudos Urânia,,,,simbolismo; morte,,,,nao_aplicavel,,,,,Prancha|https://drive.google.com/file/d/1UufuHlXPHXwbojX8LSoyEHb8mJDifWqc/view
prancha-u005,prancha,Reconhecimento e Regularidade,Prancha do Grupo de Estudos Urânia. Sessão não gravada a pedido dos presentes.,,,,Grupo de Estudos Urânia,,,,reconhecimento; regularidade,,,,nao_aplicavel,,,,,Prancha|https://drive.google.com/file/d/1LsKse2D7TGWYYkcT6_FEXsauY6prb9vP/view
video-Jv15R76nF24,video,O Homem Deus de Willermoz,,Maurício Oliveira Machado,2025-02-02,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=Jv15R76nF24,Jv15R76nF24,https://img.youtube.com/vi/Jv15R76nF24/hqdefault.jpg,pendente,,,,,
video-fxiTVg2U_GU,video,Heráclito,,Cláudio Melo,2025-03-30,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=fxiTVg2U_GU,fxiTVg2U_GU,https://img.youtube.com/vi/fxiTVg2U_GU/hqdefault.jpg,pendente,,,,,
video-wIc_Ue-OM5s,video,Tiradentes seria um profano de avental???,,Celso José Mello,2023-04-13,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=wIc_Ue-OM5s,wIc_Ue-OM5s,https://img.youtube.com/vi/wIc_Ue-OM5s/hqdefault.jpg,pendente,,,,,
video-XyMAzGYKXj4,video,Vimanas - Máquinas Voadoras da Índia Antiga,,José Maldonado Gualda,2025-05-04,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=XyMAzGYKXj4,XyMAzGYKXj4,https://img.youtube.com/vi/XyMAzGYKXj4/hqdefault.jpg,pendente,,,,,
video-nyaIb5w6GQc,video,A Caridade,,Luiz Marcelo Viegas,2025-05-11,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=nyaIb5w6GQc,nyaIb5w6GQc,https://img.youtube.com/vi/nyaIb5w6GQc/hqdefault.jpg,pendente,,,,,
video-A_aUvLnt7JY,video,Corporações de Ofício,,Michael Winetzki,2025-05-18,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=A_aUvLnt7JY,A_aUvLnt7JY,https://img.youtube.com/vi/A_aUvLnt7JY/hqdefault.jpg,pendente,,,,,
video-26deWW9aTg8,video,Estudo sobre a Abóbada Celeste no Templo Maçônico do REAA,,José Airton de Carvalho,2025-05-25,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=26deWW9aTg8,26deWW9aTg8,https://img.youtube.com/vi/26deWW9aTg8/hqdefault.jpg,pendente,,,,,
video-djaEf1ao_FM,video,Mitologia Egípcia - Misticismo,,Adnan Neser,2025-06-01,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=djaEf1ao_FM,djaEf1ao_FM,https://img.youtube.com/vi/djaEf1ao_FM/hqdefault.jpg,pendente,,,,,
