id,tipo,titulo,descricao,autor,data,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-t01,video,MAÇONARIA COMO RELIGIÃO FILOSÓFICA,Reflexão sobre a Maçonaria como filosofia e caminho de estudo.,Cídio Lopes de Almeida,2026-07-05,EpaminondasOnline,,,,filosofia; religião; estudo,https://www.youtube.com/watch?v=XjSWU8OQgPk,XjSWU8OQgPk,https://img.youtube.com/vi/XjSWU8OQgPk/hqdefault.jpg,pendente,publico,,Rogério,,
video-t02,video,Cavaleiros Templários Maçônicos,A ordem dos Templários e sua relação com a Maçonaria.,Valdir Anderson Silvério,2025-02-16,EpaminondasOnline,,,,templários; história; cavalaria,https://www.youtube.com/watch?v=iHVbTopDfmU,iHVbTopDfmU,https://img.youtube.com/vi/iHVbTopDfmU/hqdefault.jpg,pendente,publico,,Rogério,,
video-u001,video,"Vaidade, o último vício a abandonar o templo",Sessão de estudos do Grupo de Estudos Urânia.,,2026-07-11,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=1LletNOo_PY,1LletNOo_PY,https://img.youtube.com/vi/1LletNOo_PY/hqdefault.jpg,pendente,publico,,Rogério,,
video-u002,video,Entre a luz e a sombra: o simbolismo dos solstícios na maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2026-07-04,Grupo de Estudos Urânia,,,,simbolismo; instrumentos,https://www.youtube.com/watch?v=K3q9qsFM-JQ,K3q9qsFM-JQ,https://img.youtube.com/vi/K3q9qsFM-JQ/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1T22srxLzngP4wNR5Btv2JeMr82MLsvTu/view
video-u003,video,O Temerário,Sessão de estudos do Grupo de Estudos Urânia.,Ricardo Berdu,2026-06-27,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=ttdJuwljYnI,ttdJuwljYnI,https://img.youtube.com/vi/ttdJuwljYnI/hqdefault.jpg,pendente,publico,,Rogério,,
video-u004,video,O Tempo de Estudos é realmente bem aproveitado pelos Maçons?,Sessão de estudos do Grupo de Estudos Urânia.,,2026-06-20,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=Vj2WOBY6tV0,Vj2WOBY6tV0,https://img.youtube.com/vi/Vj2WOBY6tV0/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1izPC1_JwQhCzlUz7o8Vo6WxpIJjG2flC/view
video-u005,video,"Reflexões sobre o ""Dono de Loja""",Sessão de estudos do Grupo de Estudos Urânia.,,2026-06-13,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=-726gWQogE8,-726gWQogE8,https://img.youtube.com/vi/-726gWQogE8/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1yNCKvKm7PH9kCtEQctKKZHyonxzriXT1/view
video-u006,video,A Arte de Edificar a Loja,Sessão de estudos do Grupo de Estudos Urânia.,,2026-06-06,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=vVXhckCpHVU,vVXhckCpHVU,https://img.youtube.com/vi/vVXhckCpHVU/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1faOtcD8QebUdb7_jy8aB4Y6mNUMnCXot/view
video-u007,video,O Bastão na Liturgia Maçônica: Origem Histórica e Interpretações Simbólicas,Sessão de estudos do Grupo de Estudos Urânia.,,2026-05-30,Grupo de Estudos Urânia,,,,simbolismo; história; instrumentos,https://www.youtube.com/watch?v=B0yq2GFwZFA,B0yq2GFwZFA,https://img.youtube.com/vi/B0yq2GFwZFA/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1aMYgmxTugcQg5IEccgpWa0pSFauDBwu8/view
video-u008,video,A Luz nas Trevas: o Simbolismo de João 1:5 na Abertura das Sessões Maçônicas,Sessão de estudos do Grupo de Estudos Urânia.,,2026-05-16,Grupo de Estudos Urânia,,,,simbolismo; instrumentos,https://www.youtube.com/watch?v=4eKA6oUqOIg,4eKA6oUqOIg,https://img.youtube.com/vi/4eKA6oUqOIg/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1UQm581TpvyIXqVCuvW4vpjpb2-SD6Xzq/view
video-u009,video,O Significado Filosófico dos Três Pontos na Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2026-05-09,Grupo de Estudos Urânia,,,,filosofia; instrumentos,https://www.youtube.com/watch?v=tOXpP8l57KY,tOXpP8l57KY,https://img.youtube.com/vi/tOXpP8l57KY/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1VcyQ16KmXXJW2CO7f8kPO5_5H53Xn02y/view
video-u010,video,Entre a cruz e o compasso,Sessão de estudos do Grupo de Estudos Urânia.,,2026-05-02,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=pIMBukAGeJU,pIMBukAGeJU,https://img.youtube.com/vi/pIMBukAGeJU/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1TW7sem1I8nnHuPdCgkQQ7kTqa4MmSpQ0/view
video-u011,video,O Talento que a Maçonaria Perde: Quando a Arrogância dos Líderes Afasta as Grandes Mentes,Sessão de estudos do Grupo de Estudos Urânia.,,2026-04-25,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=WKbl-YqBAk8,WKbl-YqBAk8,https://img.youtube.com/vi/WKbl-YqBAk8/hqdefault.jpg,pendente,publico,,Rogério,,
video-u012,video,Ordem Shriners: Onde a Maçonaria Encontra sua Missão Mais Nobre,Sessão de estudos do Grupo de Estudos Urânia.,,2026-04-18,Grupo de Estudos Urânia,,,,instrumentos; ordens,https://www.youtube.com/watch?v=DaNG-EvrwCI,DaNG-EvrwCI,https://img.youtube.com/vi/DaNG-EvrwCI/hqdefault.jpg,pendente,publico,,Rogério,,
video-u013,video,Telhamento Maçônico: Entre o Reconhecimento e a Construção Interior,Sessão de estudos do Grupo de Estudos Urânia.,,2026-04-11,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=fPTswT9CX8I,fPTswT9CX8I,https://img.youtube.com/vi/fPTswT9CX8I/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1smT6qx75mZc6vTExRCbaosERf-abrsRr/view
video-u014,video,Páscoa e Maçonaria: O Renascimento do Homem Interior,Sessão de estudos do Grupo de Estudos Urânia.,,2026-04-04,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=YpPmsfbnKBk,YpPmsfbnKBk,https://img.youtube.com/vi/YpPmsfbnKBk/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1Qt1AKcNr0BK4UidqBIdYm82aSfDq47u0/view
video-u015,video,O Tronco de Beneficência: A Caridade como Pilar da Prática Maçônica,Sessão de estudos do Grupo de Estudos Urânia.,,2026-03-28,Grupo de Estudos Urânia,,,,instrumentos; caridade,https://www.youtube.com/watch?v=QzbKrXNpsZ4,QzbKrXNpsZ4,https://img.youtube.com/vi/QzbKrXNpsZ4/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1QMZ3YVo4DXGWRg9ydcSH0sHtiuviPL3I/view
video-u016,video,"Jacques DeMolay, a Ordem dos Cavaleiros Templários e a Ordem DeMolay",Sessão de estudos do Grupo de Estudos Urânia.,,2026-03-21,Grupo de Estudos Urânia,,,,templários; DeMolay,https://www.youtube.com/watch?v=JysWVfA3RVo,JysWVfA3RVo,https://img.youtube.com/vi/JysWVfA3RVo/hqdefault.jpg,pendente,publico,,Rogério,,
video-u017,video,Entre a Consciência Individual e a Moral Coletiva na Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2026-03-14,Grupo de Estudos Urânia,,,,ética; instrumentos,https://www.youtube.com/watch?v=YfQe_1mocoQ,YfQe_1mocoQ,https://img.youtube.com/vi/YfQe_1mocoQ/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1P2e8WAK15jpPRlfpTPnzRKRqTbiZ9oMD/view
